date,product,unit price,units sold,sales price
2018-12-01,Super Soft Sweater,149.99,1,149.99
2018-12-01,Khaki Pants,89.00,2,178.00
2018-12-01,Super Soft Hoodie,75.00,1,75.00
2018-12-01,Button-Down Shirt,65.05,9,585.45
2018-12-01,Vintage Logo Tee,15.95,3,47.85
2018-12-01,Winter Hat,12.95,1,12.95
2018-12-01,Sticker Pack,4.50,6,27.00
2018-12-02,Super Soft Sweater,149.99,1,149.99
2018-12-02,Brown Boots,125.00,1,125.00
2018-12-02,Khaki Pants,89.00,1,89.00
2018-12-02,Super Soft Hoodie,75.00,2,150.00
2018-12-02,Button-Down Shirt,65.05,3,195.15
2018-12-02,Vintage Logo Tee,15.95,3,47.85
2018-12-02,Winter Hat,12.95,2,25.90
2018-12-02,Sticker Pack,4.50,3,13.50
2018-12-03,Super Soft Hoodie,75.00,1,75.00
2018-12-03,Button-Down Shirt,65.05,3,195.15
2018-12-03,Vintage Logo Tee,15.95,1,15.95
2018-12-03,Winter Hat,12.95,1,12.95
2018-12-04,Khaki Pants,89.00,1,89.00
2018-12-04,Super Soft Hoodie,75.00,1,75.00
2018-12-04,Button-Down Shirt,65.05,1,65.05
2018-12-04,Vintage Logo Tee,15.95,1,15.95
2018-12-05,Khaki Pants,89.00,1,89.00
2018-12-05,Button-Down Shirt,65.05,1,65.05
2018-12-05,Vintage Logo Tee,15.95,1,15.95
2018-12-05,Sticker Pack,4.50,3,13.50
2018-12-06,Super Soft Sweater,149.99,1,149.99
2018-12-06,Super Soft Hoodie,75.00,1,75.00
2018-12-06,Button-Down Shirt,65.05,2,130.10
2018-12-06,Vintage Logo Tee,15.95,1,15.95
2018-12-06,Winter Hat,12.95,1,12.95
2018-12-06,Sticker Pack,4.50,6,27.00
2018-12-07,Khaki Pants,89.00,1,89.00
2018-12-07,Button-Down Shirt,65.05,5,325.25
2018-12-07,Vintage Logo Tee,15.95,2,31.90
2018-12-07,Sticker Pack,4.50,7,31.50
2018-12-08,Super Soft Hoodie,75.00,1,75.00
2018-12-08,Button-Down Shirt,65.05,3,195.15
2018-12-08,Sticker Pack,4.50,13,58.50
2018-12-09,Super Soft Sweater,149.99,1,149.99
2018-12-09,Brown Boots,125.00,1,125.00
2018-12-09,Khaki Pants,89.00,1,89.00
2018-12-09,Super Soft Hoodie,75.00,3,225.00
2018-12-09,Button-Down Shirt,65.05,2,130.10
2018-12-09,Vintage Logo Tee,15.95,1,15.95
2018-12-09,Winter Hat,12.95,2,25.90
2018-12-09,Sticker Pack,4.50,2,9.00
2018-12-10,Super Soft Hoodie,75.00,1,75.00
2018-12-10,Button-Down Shirt,65.05,3,195.15
2018-12-10,Sticker Pack,4.50,4,18.00
2018-12-11,Khaki Pants,89.00,1,89.00
2018-12-11,Button-Down Shirt,65.05,2,130.10
2018-12-11,Winter Hat,12.95,1,12.95
2018-12-11,Sticker Pack,4.50,5,22.50
2018-12-12,Button-Down Shirt,65.05,1,65.05
2018-12-12,Sticker Pack,4.50,5,22.50
2018-12-13,Vintage Logo Tee,15.95,2,31.90
2018-12-13,Winter Hat,12.95,1,12.95
2018-12-14,Super Soft Hoodie,75.00,2,150.00
2018-12-14,Button-Down Shirt,65.05,4,260.20
2018-12-14,Vintage Logo Tee,15.95,2,31.90
2018-12-14,Winter Hat,12.95,1,12.95
2018-12-14,Sticker Pack,4.50,1,4.50
2018-12-15,Brown Boots,125.00,1,125.00
2018-12-15,Khaki Pants,89.00,2,178.00
2018-12-15,Button-Down Shirt,65.05,1,65.05
2018-12-15,Vintage Logo Tee,15.95,4,63.80
2018-12-15,Winter Hat,12.95,2,25.90
2018-12-15,Sticker Pack,4.50,12,54.00
2018-12-16,Super Soft Sweater,149.99,1,149.99
2018-12-16,Brown Boots,125.00,1,125.00
2018-12-16,Khaki Pants,89.00,1,89.00
2018-12-16,Super Soft Hoodie,75.00,1,75.00
2018-12-16,Button-Down Shirt,65.05,8,520.40
2018-12-16,Vintage Logo Tee,15.95,4,63.80
2018-12-16,Sticker Pack,4.50,12,54.00
2018-12-17,Khaki Pants,89.00,1,89.00
2018-12-17,Button-Down Shirt,65.05,2,130.10
2018-12-17,Vintage Logo Tee,15.95,2,31.90
2018-12-17,Sticker Pack,4.50,4,18.00
2018-12-18,Super Soft Hoodie,75.00,1,75.00
2018-12-18,Button-Down Shirt,65.05,1,65.05
2018-12-18,Vintage Logo Tee,15.95,1,15.95
2018-12-19,Super Soft Sweater,149.99,1,149.99
2018-12-19,Khaki Pants,89.00,1,89.00
2018-12-19,Super Soft Hoodie,75.00,1,75.00
2018-12-19,Button-Down Shirt,65.05,1,65.05
2018-12-19,Vintage Logo Tee,15.95,1,15.95
2018-12-19,Sticker Pack,4.50,3,13.50
2018-12-20,Khaki Pants,89.00,1,89.00
2018-12-20,Super Soft Hoodie,75.00,1,75.00
2018-12-20,Sticker Pack,4.50,6,27.00
2018-12-21,Button-Down Shirt,65.05,2,130.10
2018-12-21,Vintage Logo Tee,15.95,1,15.95
2018-12-21,Sticker Pack,4.50,8,36.00
2018-12-22,Khaki Pants,89.00,1,89.00
2018-12-22,Super Soft Hoodie,75.00,1,75.00
2018-12-22,Button-Down Shirt,65.05,8,520.40
2018-12-22,Winter Hat,12.95,2,25.90
2018-12-22,Sticker Pack,4.50,6,27.00
2018-12-23,Super Soft Hoodie,75.00,2,150.00
2018-12-23,Button-Down Shirt,65.05,4,260.20
2018-12-23,Vintage Logo Tee,15.95,2,31.90
2018-12-24,Super Soft Hoodie,75.00,1,75.00
2018-12-24,Button-Down Shirt,65.05,3,195.15
2018-12-24,Sticker Pack,4.50,4,18.00
2018-12-25,Super Soft Hoodie,75.00,1,75.00
2018-12-25,Button-Down Shirt,65.05,1,65.05
2018-12-25,Vintage Logo Tee,15.95,1,15.95
2018-12-25,Sticker Pack,4.50,5,22.50
2018-12-26,Super Soft Sweater,149.99,1,149.99
2018-12-26,Super Soft Hoodie,75.00,1,75.00
2018-12-26,Winter Hat,12.95,1,12.95
2018-12-27,Button-Down Shirt,65.05,2,130.10
