date,product,unit price,units sold,sales price
2018-04-01,Super Soft Hoodie,75.00,2,150.00
2018-04-01,Button-Down Shirt,65.05,5,325.25
2018-04-01,Baseball Cap,22.33,1,22.33
2018-04-01,Vintage Logo Tee,15.95,2,31.90
2018-04-01,Sticker Pack,4.50,1,4.50
2018-04-02,Khaki Pants,89.00,1,89.00
2018-04-02,Button-Down Shirt,65.05,1,65.05
2018-04-02,Vintage Logo Tee,15.95,2,31.90
2018-04-02,Sticker Pack,4.50,1,4.50
2018-04-03,Button-Down Shirt,65.05,1,65.05
2018-04-03,Vintage Logo Tee,15.95,3,47.85
2018-04-04,Super Soft Hoodie,75.00,1,75.00
2018-04-04,Vintage Logo Tee,15.95,1,15.95
2018-04-05,Button-Down Shirt,65.05,4,260.20
2018-04-05,Vintage Logo Tee,15.95,2,31.90
2018-04-06,Super Soft Hoodie,75.00,1,75.00
2018-04-06,Button-Down Shirt,65.05,5,325.25
2018-04-06,Baseball Cap,22.33,1,22.33
2018-04-06,Vintage Logo Tee,15.95,2,31.90
2018-04-07,Brown Boots,125.00,1,125.00
2018-04-07,Khaki Pants,89.00,2,178.00
2018-04-07,Super Soft Hoodie,75.00,1,75.00
2018-04-07,Button-Down Shirt,65.05,9,585.45
2018-04-07,Vintage Logo Tee,15.95,3,47.85
2018-04-07,Sticker Pack,4.50,1,4.50
2018-04-08,Khaki Pants,89.00,2,178.00
2018-04-08,Button-Down Shirt,65.05,3,195.15
2018-04-08,Baseball Cap,22.33,1,22.33
2018-04-08,Vintage Logo Tee,15.95,5,79.75
2018-04-09,Khaki Pants,89.00,1,89.00
2018-04-09,Button-Down Shirt,65.05,1,65.05
2018-04-09,Vintage Logo Tee,15.95,2,31.90
2018-04-09,Sticker Pack,4.50,2,9.00
2018-04-10,Button-Down Shirt,65.05,3,195.15
2018-04-10,Vintage Logo Tee,15.95,3,47.85
2018-04-11,Super Soft Hoodie,75.00,1,75.00
2018-04-11,Button-Down Shirt,65.05,2,130.10
2018-04-11,Vintage Logo Tee,15.95,1,15.95
2018-04-12,Button-Down Shirt,65.05,3,195.15
2018-04-12,Vintage Logo Tee,15.95,1,15.95
2018-04-12,Sticker Pack,4.50,2,9.00
2018-04-13,Khaki Pants,89.00,1,89.00
2018-04-13,Super Soft Hoodie,75.00,2,150.00
2018-04-13,Button-Down Shirt,65.05,4,260.20
2018-04-13,Vintage Logo Tee,15.95,4,63.80
2018-04-13,Sticker Pack,4.50,4,18.00
2018-04-14,Super Soft Hoodie,75.00,2,150.00
2018-04-14,Button-Down Shirt,65.05,6,390.30
2018-04-14,Baseball Cap,22.33,1,22.33
2018-04-14,Vintage Logo Tee,15.95,5,79.75
2018-04-14,Sticker Pack,4.50,6,27.00
2018-04-15,Khaki Pants,89.00,1,89.00
2018-04-15,Super Soft Hoodie,75.00,2,150.00
2018-04-15,Button-Down Shirt,65.05,6,390.30
2018-04-15,Baseball Cap,22.33,1,22.33
2018-04-15,Vintage Logo Tee,15.95,3,47.85
2018-04-15,Sticker Pack,4.50,6,27.00
2018-04-16,Khaki Pants,89.00,1,89.00
2018-04-16,Super Soft Hoodie,75.00,1,75.00
2018-04-16,Button-Down Shirt,65.05,1,65.05
2018-04-16,Vintage Logo Tee,15.95,1,15.95
2018-04-16,Sticker Pack,4.50,2,9.00
2018-04-17,Super Soft Hoodie,75.00,1,75.00
2018-04-17,Button-Down Shirt,65.05,1,65.05
2018-04-18,Button-Down Shirt,65.05,1,65.05
2018-04-18,Vintage Logo Tee,15.95,2,31.90
2018-04-19,Button-Down Shirt,65.05,1,65.05
2018-04-19,Vintage Logo Tee,15.95,2,31.90
2018-04-19,Sticker Pack,4.50,2,9.00
2018-04-20,Khaki Pants,89.00,1,89.00
2018-04-20,Vintage Logo Tee,15.95,1,15.95
2018-04-20,Sticker Pack,4.50,1,4.50
2018-04-21,Super Soft Hoodie,75.00,3,225.00
2018-04-21,Button-Down Shirt,65.05,6,390.30
2018-04-21,Baseball Cap,22.33,1,22.33
2018-04-21,Vintage Logo Tee,15.95,2,31.90
2018-04-21,Sticker Pack,4.50,3,13.50
2018-04-22,Khaki Pants,89.00,1,89.00
2018-04-22,Super Soft Hoodie,75.00,2,150.00
2018-04-22,Button-Down Shirt,65.05,9,585.45
2018-04-22,Baseball Cap,22.33,1,22.33
2018-04-22,Sticker Pack,4.50,5,22.50
2018-04-23,Khaki Pants,89.00,1,89.00
2018-04-23,Super Soft Hoodie,75.00,1,75.00
2018-04-23,Button-Down Shirt,65.05,3,195.15
2018-04-23,Sticker Pack,4.50,2,9.00
2018-04-24,Vintage Logo Tee,15.95,3,47.85
2018-04-24,Sticker Pack,4.50,1,4.50
2018-04-25,Button-Down Shirt,65.05,3,195.15
2018-04-25,Vintage Logo Tee,15.95,3,47.85
2018-04-26,Button-Down Shirt,65.05,3,195.15
2018-04-26,Vintage Logo Tee,15.95,1,15.95
2018-04-26,Sticker Pack,4.50,1,4.50
2018-04-27,Button-Down Shirt,65.05,4,260.20
2018-04-27,Baseball Cap,22.33,1,22.33
