date,product,unit price,units sold,sales price
2019-04-01,Khaki Pants,89.00,1,89.00
2019-04-01,Button-Down Shirt,65.05,1,65.05
2019-04-01,Vintage Logo Tee,15.95,2,31.90
2019-04-01,Sticker Pack,4.50,1,4.50
2019-04-02,Khaki Pants,89.00,1,89.00
2019-04-02,Super Soft Hoodie,75.00,1,75.00
2019-04-02,Button-Down Shirt,65.05,3,195.15
2019-04-02,Vintage Logo Tee,15.95,2,31.90
2019-04-03,Super Soft Hoodie,75.00,1,75.00
2019-04-03,Button-Down Shirt,65.05,4,260.20
2019-04-03,Vintage Logo Tee,15.95,3,47.85
2019-04-03,Sticker Pack,4.50,3,13.50
2019-04-04,Super Soft Hoodie,75.00,1,75.00
2019-04-04,Button-Down Shirt,65.05,3,195.15
2019-04-04,Sticker Pack,4.50,2,9.00
2019-04-05,Super Soft Hoodie,75.00,2,150.00
2019-04-05,Button-Down Shirt,65.05,3,195.15
2019-04-05,Baseball Cap,22.33,1,22.33
2019-04-05,Vintage Logo Tee,15.95,5,79.75
2019-04-05,Sticker Pack,4.50,2,9.00
2019-04-06,Khaki Pants,89.00,1,89.00
2019-04-06,Super Soft Hoodie,75.00,1,75.00
2019-04-06,Button-Down Shirt,65.05,9,585.45
2019-04-06,Baseball Cap,22.33,1,22.33
2019-04-06,Sticker Pack,4.50,3,13.50
2019-04-07,Button-Down Shirt,65.05,3,195.15
2019-04-07,Baseball Cap,22.33,1,22.33
2019-04-07,Vintage Logo Tee,15.95,4,63.80
2019-04-07,Sticker Pack,4.50,1,4.50
2019-04-08,Super Soft Hoodie,75.00,1,75.00
2019-04-08,Button-Down Shirt,65.05,3,195.15
2019-04-08,Sticker Pack,4.50,1,4.50
2019-04-09,Khaki Pants,89.00,1,89.00
2019-04-09,Super Soft Hoodie,75.00,1,75.00
2019-04-09,Button-Down Shirt,65.05,1,65.05
2019-04-09,Sticker Pack,4.50,1,4.50
2019-04-10,Button-Down Shirt,65.05,1,65.05
2019-04-10,Vintage Logo Tee,15.95,2,31.90
2019-04-10,Sticker Pack,4.50,1,4.50
2019-04-11,Khaki Pants,89.00,1,89.00
2019-04-11,Button-Down Shirt,65.05,1,65.05
2019-04-11,Vintage Logo Tee,15.95,1,15.95
2019-04-11,Sticker Pack,4.50,2,9.00
2019-04-12,Khaki Pants,89.00,2,178.00
2019-04-12,Super Soft Hoodie,75.00,1,75.00
