date,product,unit price,units sold,sales price
2018-11-01,Super Soft Sweater,149.99,1,149.99
2018-11-01,Super Soft Hoodie,75.00,1,75.00
2018-11-01,Button-Down Shirt,65.05,4,260.20
2018-11-01,Vintage Logo Tee,15.95,1,15.95
2018-11-01,Winter Hat,12.95,1,12.95
2018-11-01,Sticker Pack,4.50,1,4.50
2018-11-02,Super Soft Sweater,149.99,1,149.99
2018-11-02,Khaki Pants,89.00,2,178.00
2018-11-02,Button-Down Shirt,65.05,4,260.20
2018-11-02,Vintage Logo Tee,15.95,3,47.85
2018-11-03,Super Soft Sweater,149.99,1,149.99
2018-11-03,Khaki Pants,89.00,1,89.00
2018-11-03,Super Soft Hoodie,75.00,3,225.00
2018-11-03,Button-Down Shirt,65.05,3,195.15
2018-11-03,Vintage Logo Tee,15.95,2,31.90
2018-11-03,Sticker Pack,4.50,4,18.00
2018-11-04,Brown Boots,125.00,1,125.00
2018-11-04,Khaki Pants,89.00,1,89.00
2018-11-04,Super Soft Hoodie,75.00,3,225.00
2018-11-04,Button-Down Shirt,65.05,7,455.35
2018-11-04,Vintage Logo Tee,15.95,1,15.95
2018-11-04,Sticker Pack,4.50,6,27.00
2018-11-05,Khaki Pants,89.00,1,89.00
2018-11-05,Button-Down Shirt,65.05,4,260.20
2018-11-05,Vintage Logo Tee,15.95,1,15.95
2018-11-05,Sticker Pack,4.50,1,4.50
2018-11-06,Super Soft Sweater,149.99,1,149.99
2018-11-06,Button-Down Shirt,65.05,3,195.15
2018-11-06,Winter Hat,12.95,1,12.95
2018-11-07,Super Soft Hoodie,75.00,1,75.00
2018-11-07,Button-Down Shirt,65.05,3,195.15
2018-11-07,Vintage Logo Tee,15.95,1,15.95
2018-11-07,Sticker Pack,4.50,2,9.00
2018-11-08,Button-Down Shirt,65.05,4,260.20
2018-11-08,Vintage Logo Tee,15.95,2,31.90
2018-11-08,Winter Hat,12.95,1,12.95
2018-11-09,Super Soft Sweater,149.99,1,149.99
2018-11-09,Khaki Pants,89.00,1,89.00
2018-11-09,Super Soft Hoodie,75.00,2,150.00
2018-11-09,Button-Down Shirt,65.05,3,195.15
2018-11-09,Vintage Logo Tee,15.95,3,47.85
2018-11-09,Winter Hat,12.95,1,12.95
2018-11-09,Sticker Pack,4.50,4,18.00
2018-11-10,Super Soft Sweater,149.99,2,299.98
2018-11-10,Khaki Pants,89.00,2,178.00
2018-11-10,Super Soft Hoodie,75.00,3,225.00
2018-11-10,Vintage Logo Tee,15.95,2,31.90
2018-11-10,Winter Hat,12.95,1,12.95
2018-11-10,Sticker Pack,4.50,6,27.00
